f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
2.9068e-06,1.8053e-15,491000.0,0.00036331,0.018239,0.0011428,0.00093169,0.40048,2.6636,6.9585,0.014249,0.0007915,0.029407,4.9021e-07,0.023295,0.0021904,1067800000.0,0.0074944,165420000000000.0,2.2872e-05,0.054119,0.19953,0.0032029,0.0042517,0.002852,0.060303,0.010406,0.030552,0.027266,0.0034854,0.0020012,4.4729,0.012612,5.4201e-14,5.6512,864710000.0,5.4214,657.3173110935786,LH pre-train 9
9.5764e-07,6.5924e-16,137000.0,0.00047949,0.0080398,0.0015615,0.0012393,0.42889,1.0528,5.2484,0.0034741,0.0018761,0.017311,7.9403e-07,0.018647,0.0040619,4694300000.0,0.010055,279590000000000.0,3.2799e-05,0.25711,0.2128,0.0033479,0.0066108,0.0009056,0.031485,0.0088907,0.021711,0.013734,0.0053882,0.0079638,7.9973,0.0043057,1.8307e-14,5.2232,2591200000.0,4.8476,29.440473272301023,LH pre-train 10
1.121e-06,8.0105e-16,166470.0,0.0005207,0.019525,0.00032722,0.00060445,0.085635,0.84162,3.1587,0.0016708,0.00088836,0.017949,5.5944e-07,0.03607,0.0040522,3323700000.0,0.0042346,96648000000000.0,2.7971e-05,0.050157,0.038374,0.006936,0.0073518,0.0024842,0.028497,0.0019566,0.0043808,0.0092904,0.0034489,0.0017572,4.2476,0.0080523,1.3268e-14,4.5267,1094200000.0,6.1544,34.54728218199387,LH pre-train 11
6.4036e-07,7.3102e-16,1048100.0,0.00022871,0.0080657,0.0023866,0.00041706,0.21831,1.7522,5.8799,0.0084748,0.0035431,0.0071081,1.1158e-06,0.040602,0.0024535,2419600000.0,0.012615,42177000000000.0,6.1247e-06,0.15898,0.25894,0.0026029,0.0049258,0.0014813,0.018775,0.0019651,0.0066604,0.023107,0.024493,0.0020946,8.9811,0.011781,3.3628e-14,2.2915,3425500000.0,2.3992,52.3077832853736,LH pre-train 12
4.9583e-07,8.9794e-16,121390.0,0.00010761,0.008062,0.0022431,0.00059313,0.12081,2.9621,4.6451,0.010723,0.00077869,0.014691,3.5338e-07,0.059385,0.0061761,5244800000.0,0.024151,204230000000000.0,1.6414e-05,0.068197,0.13126,0.0021182,0.014974,0.0047765,0.019904,0.0042993,0.0037443,0.03897,0.014009,0.0052055,21.003,0.0034069,9.7874e-14,2.0504,733870000.0,2.5824,36.69220964763031,LH pre-train 13
3.0302e-06,3.7094e-16,138480.0,0.00029478,0.0075187,0.0011043,0.00042177,0.10334,1.2831,3.9796,0.010731,0.0024108,0.010486,6.8183e-07,0.036681,0.0046354,1458000000.0,0.035357,102420000000000.0,6.2314e-06,0.078521,0.10197,0.0014128,0.0039946,0.0012957,0.029651,0.0026912,0.0033227,0.026647,0.0059572,0.012102,22.658,0.026138,5.8546e-14,2.303,503820000.0,4.9288,68.95345161488162,LH pre-train 14
2.6999e-06,2.7874e-16,421310.0,0.00044656,0.0049045,0.00054312,0.00049706,0.28908,1.055,6.0718,0.0081739,0.003824,0.026345,6.916e-07,0.10533,0.0065554,665660000.0,0.022243,100630000000000.0,1.1541e-05,0.18987,0.030802,0.012887,0.0087162,0.0014156,0.010085,0.0074486,0.012809,0.018243,0.0027718,0.002473,7.1146,0.003627,1.0306e-13,11.593,417260000.0,5.7076,50.35746835013246,LH pre-train 15
1.3162e-06,4.1527e-16,843250.0,0.00011903,0.0038966,0.0010119,0.0015665,0.42549,0.59863,3.7926,0.0018609,0.0032492,0.031592,2.2762e-07,0.084283,0.0035823,4322600000.0,0.0077609,38385000000000.0,1.1137e-05,0.12244,0.19312,0.0017585,0.0095496,0.00092939,0.024916,0.0091458,0.014346,0.0082829,0.022908,0.011907,14.421,0.0079251,2.9174e-14,1.8142,749620000.0,3.0602,35.93849240645519,LH pre-train 16
1.173e-06,1.6452e-15,132510.0,0.00013462,0.011654,0.00034827,0.00056523,0.24091,1.6325,3.7596,0.011742,0.0014843,0.033055,3.4491e-07,0.08305,0.0017511,1759200000.0,0.016675,177440000000000.0,2.3442e-05,0.032015,0.075455,0.0025368,0.013416,0.0009416,0.052706,0.012221,0.016485,0.0088173,0.0031822,0.0025151,6.1755,0.0079988,3.6105e-14,10.67,1084700000.0,1.272,53.92150551319192,LH pre-train 17
1.146e-06,1.9477e-15,375950.0,0.00061028,0.017759,0.00033279,0.0015448,0.26644,0.9018,2.9343,0.0036239,0.0012241,0.022733,5.1037e-07,0.029882,0.0055817,1896300000.0,0.019917,191210000000000.0,8.8913e-06,0.14389,0.12489,0.0050534,0.01912,0.00092965,0.0089007,0.01008,0.020531,0.012172,0.0042057,0.0026006,3.905,0.02199,1.3338e-14,8.7719,1555300000.0,1.2235,32.5131609816241,LH pre-train 18
