Num,Reaction,Rate
152,C2H6(v24) + H2^+ => H2 + H + C2H5^+,1.37d-9
153,C2H6(v13) + H2^+ => H2 + H + C2H5^+,1.37d-9
154,C2H6 + H2^+ => H2 + H2 + C2H4^+,2.35d-9
155,C2H6(v24) + H2^+ => H2 + H2 + C2H4^+,2.35d-9
156,C2H6(v13) + H2^+ => H2 + H2 + C2H4^+,2.35d-9
157,C2H6 + H2^+ => H2 + H2 + H + C2H3^+,6.86d-10
158,C2H6(v24) + H2^+ => H2 + H2 + H + C2H3^+,6.86d-10
159,C2H6(v13) + H2^+ => H2 + H2 + H + C2H3^+,6.86d-10
160,C2H6 + H2^+ => H2 + H2 + H2 + C2H2^+,1.96d-10
161,C2H6(v24) + H2^+ => H2 + H2 + H2 + C2H2^+,1.96d-10
162,C2H6(v13) + H2^+ => H2 + H2 + H2 + C2H2^+,1.96d-10
163,C2H4 + H2^+ => H2 + C2H4^+,2.21d-9
164,C2H4(v1) + H2^+ => H2 + C2H4^+,2.21d-9
165,C2H4(v2) + H2^+ => H2 + C2H4^+,2.21d-9
166,C2H4 + H2^+ => H2 + H + C2H3^+,1.81d-9
167,C2H4(v1) + H2^+ => H2 + H + C2H3^+,1.81d-9
168,C2H4(v2) + H2^+ => H2 + H + C2H3^+,1.81d-9
169,C2H4 + H2^+ => H2 + H2 + C2H2^+,8.82d-10
170,C2H4(v1) + H2^+ => H2 + H2 + C2H2^+,8.82d-10
171,C2H4(v2) + H2^+ => H2 + H2 + C2H2^+,8.82d-10
172,C2H2 + H2^+ => H + C2H3^+,4.80d-10
173,C2H2(v5) + H2^+ => H + C2H3^+,4.80d-10
174,C2H2(v2) + H2^+ => H + C2H3^+,4.80d-10
175,C2H2(v13) + H2^+ => H + C2H3^+,4.80d-10
176,C2H2 + H2^+ => H2 + C2H2^+,4.82d-9
177,C2H2(v5) + H2^+ => H2 + C2H2^+,4.82d-9
178,C2H2(v2) + H2^+ => H2 + C2H2^+,4.82d-9
179,C2H2(v13) + H2^+ => H2 + C2H2^+,4.82d-9
180,H + H2^+ => H3^+,2.10d-9
181,H + H2^+ => H2 + H^+,6.39d-10
182,CH4 + H^+ => H + CH4^+,1.50d-9
183,CH4(v24) + H^+ => H + CH4^+,1.50d-9
184,CH4(v13) + H^+ => H + CH4^+,1.50d-9
185,CH4 + H^+ => H2 + CH3^+,2.30d-9
186,CH4(v24) + H^+ => H2 + CH3^+,2.30d-9
187,CH4(v13) + H^+ => H2 + CH3^+,2.30d-9
188,CH3 + H^+ => H + CH3^+,3.40d-9
189,CH2 + H^+ => H + CH2^+,1.40d-9
190,CH2 + H^+ => H2 + CH^+,1.40d-9
191,CH + H^+ => H + CH^+,1.90d-9
192,C2H6 + H^+ => H2 + C2H5^+,1.30d-9
193,C2H6(v24) + H^+ => H2 + C2H5^+,1.30d-9
194,C2H6(v13) + H^+ => H2 + C2H5^+,1.30d-9
195,C2H6 + H^+ => H2 + H + C2H4^+,1.40d-9
196,C2H6(v24) + H^+ => H2 + H + C2H4^+,1.40d-9
197,C2H6(v13) + H^+ => H2 + H + C2H4^+,1.40d-9
198,C2H6 + H^+ => H2 + H2 + C2H3^+,2.80d-9
199,C2H6(v24) + H^+ => H2 + H2 + C2H3^+,2.80d-9
200,C2H6(v13) + H^+ => H2 + H2 + C2H3^+,2.80d-9
201,C2H5 + H^+ => H2 + C2H4^+,1.65d-9
202,C2H5 + H^+ => H2 + H + C2H3^+,3.06d-9
203,C2H4 + H^+ => H + C2H4^+,1.00d-9
204,C2H4(v1) + H^+ => H + C2H4^+,1.00d-9
205,C2H4(v2) + H^+ => H + C2H4^+,1.00d-9
206,C2H4 + H^+ => H2 + C2H3^+,3.00d-9
207,C2H4(v1) + H^+ => H2 + C2H3^+,3.00d-9
208,C2H4(v2) + H^+ => H2 + C2H3^+,3.00d-9
209,C2H4 + H^+ => H2 + H + C2H2^+,1.00d-9
210,C2H3 + H^+ => H + C2H3^+,2.00d-9
211,C2H3 + H^+ => H2 + C2H2^+,2.00d-9
212,C2H2 + H^+ => H + C2H2^+,5.40d-10
213,C2H2(v5) + H^+ => H + C2H2^+,5.40d-10
214,C2H2(v2) + H^+ => H + C2H2^+,5.40d-10
215,C2H2(v13) + H^+ => H + C2H2^+,5.40d-10
216,CH4 + CH2 => CH3 + CH3,4.08d-18 * Tgas**2 * exp(-4163./Tgas)
217,CH4(v24) + CH2 => CH3 + CH3,4.08d-18 * Tgas**2 * exp(-4163./Tgas)
218,CH4(v13) + CH2 => CH3 + CH3,4.08d-18 * Tgas**2 * exp(-4163./Tgas)
219,CH4 + CH => C2H4 + H,9.97d-11
220,CH4(v24) + CH => C2H4 + H,9.97d-11
221,CH4(v13) + CH => C2H4 + H,9.97d-11
222,CH4 + C2H5 => C2H6 + CH3,2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
223,CH4(v24) + C2H5 => C2H6 + CH3,2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
224,CH4(v13) + C2H5 => C2H6 + CH3,2.51d-15 * (Tgas/298.)**4.14 * exp(-52.55/(R*Tgas))
225,CH4 + C2H3 => C2H4 + CH3,4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
226,CH4(v24) + C2H3 => C2H4 + CH3,4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
227,CH4(v13) + C2H3 => C2H4 + CH3,4.26d-15 * (Tgas/298.)**4.02 * exp(-22.86/(R*Tgas))
228,CH4 + C3H7 => C3H8 + CH3,3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
229,CH4(v24) + C3H7 => C3H8 + CH3,3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
230,CH4(v13) + C3H7 => C3H8 + CH3,3.54d-16 * (Tgas/298.)**4.02 * exp(-45.48/(R*Tgas))
231,CH4 + H => CH3 + H2,9.86d-13 * (Tgas/298.)**3.00 * exp(-36.67/(R*Tgas))
