,0
CH + C2H3 => CH2 + C2H2,3.00583649994695e+17
e + C2H5^+ => C2H4 + H,2.93431722807e+17
e + C2H6 => e + e + CH3 + CH3^+,2.8582000004976202e+17
CH + H2 => CH2 + H,2.8555021904496906e+17
C2H6(v13) + H => C2H5 + H2,2.661454341e+17
e + C2H4^+ => C2H3 + H,2.397073508954e+17
C2H4 + CH3 => C3H7,2.391535453583e+17
e + C2H3^+ => C2H2 + H,2.26693952799715e+17
C3H7 + H => C3H8,2.154151289866e+17
e + CH => e + e + CH^+,2.0044e+17
e + C2H6(v13) => e + C2H4 + H2,1.928226401352636e+17
CH + C2H6 => C3H6 + H,1.9059507345093782e+17
e + C2H6(v24) => e + C2H4 + H2,1.8844231120756525e+17
e + C2H2 => e + CH + CH,1.8143008445349955e+17
C2H2 + CH3 => C3H5,1.78061825e+17
CH4(v24) + CH^+ => H2 + C2H3^+,1.5252000001542678e+17
CH4(v13) + CH^+ => H2 + C2H3^+,1.457900000175566e+17
C2H4 + C2H2^+ => C2H2 + C2H4^+,9.610392117913307e+16
H2 + CH^+ => H + CH2^+,7.486800000028078e+16
e + C2H5 => e + e + CH3 + CH2^+,6.5164e+16
e + C2H3 => e + e + C2H2 + H^+,6.1334e+16
C3H6 + H => C3H7,4.14658231413e+16
C2H3 + C2H2^+ => C2H2 + C2H3^+,3.805523877139374e+16
C2H4 + CH2 => C3H6,3.791429596645561e+16
CH4 + H^+ => H2 + CH3^+,3.6966e+16
C2H6 + C2H2^+ => C2H4 + C2H4^+,3.12396898418597e+16
e + C2H4(v1) => e + C2H2 + H2,2.579502740650419e+16
C2H4 + H => C2H3 + H2,2.578447426881838e+16
H2 + C2H2^+ => H + C2H3^+,2.515869907682762e+16
CH4 + H^+ => H + CH4^+,2.4109e+16
e + C2H2^+ => CH + CH,2.3842022588369636e+16
e + C2H4(v1) => e + C2H3 + H,2.052300417030289e+16
e + C2H5 => e + e + CH4 + CH^+,2.0497e+16
e + C2H4 => e + e + CH + CH3^+,2.0172e+16
CH4(v24) + CH^+ => H2 + H + C2H2^+,2.000900000202388e+16
CH4(v13) + CH^+ => H2 + H + C2H2^+,1.9127000002303296e+16
