exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
4,30,0.25,1.666666667,1.0135135135135136,1.0033783783783785,0.9831081081081081,0.9154405,0.07194562289562283,1.4096596,0.5811069415807559,1.4
4,30,0.25,4.0,0.74,1.12,1.14,0.47546789999999994,0.5787087089285714,0.06935841799999992,1.7093638339298247,1.9
4,30,0.25,5.0,0.5898305084745763,1.2101694915254235,1.2,0.009128325,0.8218814326330534,0.06525681299999991,1.6345912840056498,1.0
5,30,0.25,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.1
5,30,0.25,1.0,1.0365448504983388,0.9867109634551495,0.9767441860465116,1.018001,-0.05594717845117819,1.7068252,0.23629434557823142,0.7
5,30,0.25,2.0,1.0564784053156147,0.9767441860465117,0.9667774086378739,0.9773605,-0.03333550680272109,1.5446165,0.38079708934707884,1.2
5,30,0.25,3.0,1.016778523489933,0.9966442953020135,0.9865771812080538,0.907578,0.07745409427609423,1.1787965,0.8123287772108841,1.7
5,30,0.25,4.0,0.9222972972972973,1.043918918918919,1.033783783783784,0.760111,0.28637442394822005,0.797744,1.2229277385620914,2.0
5,30,0.25,6.0,0.5851393188854488,1.2074303405572753,1.2074303405572753,0.07952651999999999,0.7896653531282053,0.11467032199999995,1.6008392542102567,0.3
6,30,0.25,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.1
6,30,0.25,1.0,1.057627118644068,0.9864406779661018,0.9559322033898308,0.950135,-0.004955738831615265,1.7142883,0.19553918581560242,0.7
6,30,0.25,2.0,1.0273972602739727,0.9965753424657535,0.9760273972602741,0.8915615,0.08430085910652914,1.337552,0.6411733333333329,1.2
6,30,0.25,3.0,0.9583333333333334,1.0104166666666667,1.0312500000000002,0.789011,0.24135039175257722,0.9456128,1.0606426505050501,1.7
6,30,0.25,3.5,0.9031141868512113,1.0276816608996542,1.069204152249135,0.6756475,0.3793131397306396,0.6570659000000001,1.3155527511326859,1.8
6,30,0.25,4.0,0.78125,1.1250000000000002,1.09375,0.47563215,0.5585887847222221,0.45270626900000005,1.505209807857143,2.0
6,30,0.25,4.5,0.7058823529411763,1.152249134948097,1.1418685121107266,0.21033259999999998,0.7390154642642642,0.29042908400000006,1.5719771723151517,1.9
6,30,0.25,5.0,0.6293706293706293,1.1748251748251748,1.1958041958041956,0.030155594999999983,0.835035693154762,0.006307085000000047,1.6691951014619886,1.9
7,30,0.25,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,0.1
7,30,0.25,1.0,0.9924812030075187,0.9824561403508771,2.025062656641604,0.482883595,0.021117592806122458,0.9809775000000001,0.013035779702970313,0.6
7,30,0.25,2.0,1.0,0.98989898989899,2.0101010101010104,0.449734375,0.050778539540816306,0.6564015000000001,0.1709359371859296,1.0
7,30,0.25,3.0,1.043037974683544,1.0126582278481011,1.9443037974683541,0.340313985,0.1432265954500001,0.2981617090000001,0.35437158319270834,1.4
7,30,0.25,4.0,1.1027568922305764,1.0927318295739348,1.8045112781954884,0.0238081,0.43354228440366976,0.0,0.5541666666666668,0.8
8,30,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
8,30,0.25,1.0,1.0639386189258313,1.0127877237851663,1.9232736572890028,0.949449,-0.010027232323232448,1.75624,0.06835659574468071,0.9
8,30,0.25,2.0,1.0408163265306123,1.0102040816326532,1.948979591836735,0.891631,0.0712488686868687,1.3579685000000001,0.300980172774869,1.4
8,30,0.25,3.0,0.9872773536895674,1.0178117048346056,1.994910941475827,0.796861,0.20954483000000004,1.0532165,0.48131632397959184,1.8
8,30,0.25,4.0,0.8244274809160306,1.1195928753180662,2.0559796437659035,0.5618425,0.47946143181818174,0.601862996,0.7314311748712871,1.8
8,30,0.25,5.0,0.6965174129353234,1.2935323383084578,2.009950248756219,0.04991493500000001,0.7461996503846153,0.2871095090000001,0.8955561107425741,1.5
9,30,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.1
9,30,0.25,1.0,1.0719602977667493,0.9826302729528535,1.945409429280397,0.959342655,-0.02887885595959587,1.8807137,-0.0082504061224489,0.3
9,30,0.25,2.0,1.1528822055137846,0.9423558897243108,1.9047619047619049,0.88174961,-0.01756601223404271,1.4866772,0.1501690631578946,0.5
9,30,0.25,3.0,1.158690176322418,0.947103274559194,1.894206549118388,0.84293242,0.02460395425531929,1.284376,0.27019553191489376,0.7
9,30,0.25,4.0,1.141388174807198,0.9460154241645243,1.9125964010282774,0.788661715,0.10552771342391304,1.1320112,0.3701438537634409,0.8
9,30,0.25,5.0,1.085427135678392,0.9849246231155778,1.9296482412060298,0.72217492,0.21943988408163256,0.8561012,0.5549014083333335,0.9
9,30,0.25,6.0,1.0288713910761156,1.0393700787401576,1.9317585301837272,0.6013335150000001,0.36686177303030276,0.633925169,0.6976920295543477,1.0
9,30,0.25,7.0,0.9326424870466321,1.0362694300518136,2.0310880829015545,0.41272589500000006,0.5935466944999997,0.485589764,0.7617189859183673,1.0
10,30,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.2
10,30,0.25,1.0,1.0620347394540945,0.9727047146401987,1.9652605459057075,0.9553769549999999,-0.015054430459183813,1.6572961000000002,0.12206725909090879,0.8
10,30,0.25,3.0,1.04,0.98,1.98,0.88638703,0.07975253959183669,1.1918227000000001,0.3840931272727272,1.8
10,30,0.25,4.0,0.9559684398065665,1.0180707559175362,2.025960804275897,0.7876788299999999,0.24261957863000014,0.6537161000000001,0.6787239106030151,1.8
10,30,0.25,5.0,0.8320802005012532,1.112781954887218,2.055137844611529,0.48701297,0.5344857972072071,0.2658611000000001,0.8655294082926829,0.8
10,30,0.25,6.0,0.6520681265206812,1.2554744525547448,2.0924574209245743,0.028764784999999987,0.7815717783333331,0.07726370200000009,0.9317364277488371,0.6
11,10,0.25,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0
11,10,0.25,1.0,1.0881612090680102,0.9773299748110831,1.9345088161209067,0.9504057800000001,-0.03498787876288675,1.8613472,-0.013153633333333385,0.1
11,10,0.25,2.0,1.1515151515151514,0.9494949494949495,1.898989898989899,0.9060638300000001,-0.04565187893617021,1.7042111999999998,0.019786825531915152,0.2
11,10,0.25,3.0,1.1959798994974875,0.9246231155778895,1.8793969849246233,0.8689802350000001,-0.042485303967391454,1.5409008,0.08359788663101596,0.2
11,10,0.25,4.0,1.1616161616161615,0.8989898989898989,1.9393939393939394,0.876221795,-0.01983715084269649,1.3741542,0.20818889062500007,0.2
12,30,0.25,0.0,1.0,1.0,2.0,3.0,0.0,6.0,0.0,1.0
12,30,0.25,1.0,1.06265664160401,0.9824561403508771,1.9548872180451127,2.8576932,-0.0374028489795916,5.0925876,0.3009523815384617,1.7
