exp,Voltage [V],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
28,30,0.25,3,6,6,1.701408,1.317104375,0.01159205,0.94073642,0.024037848,0.71950934,13.105,2.286,13.597,0.55,1.12,5.7,0.18,0.15,0.1,0.889761471,2.4
28,30,0.25,3,6,7,1.21802365,1.58742172,0.018365935,0.6335945,0.0244742,0.81214694,12.557,2.209,13.68,0.39,1.24,5.8,0.18,0.15,0.1,0.785846477,2
28,30,0.25,3,6,8,0.5831327,2.111033125,0.024943755,0.2641752,0.024637898,0.8826135,11.954,2.173,13.75,0.2,1.35,5.9,0.18,0.15,0.1,0.614033417,1.8
30,20,0.25,3,6,0,3.42791875,-0.00532275,-0.00562907,5.352152,0.008131473,0.031037897,14.677,11.481,12.388,0.8,0.8,1.8,0.2,0.2,0.2,0,0.1
30,20,0.25,3,6,1,3.0539203,0.013905965,-0.00399127,4.317102,0.010268609,0.186,14.644,4.139,13.263,0.9,0.79,1.72,0.2,0.2,0.2,2.300281695,0.7
30,20,0.25,3,6,4,2.45516035,0.190164355,0.00287158,2.960622,0.018984042,0.6740415,14.4,3.201,13.801,1,0.75,1.65,0.2,0.2,0.2,1.357304276,1.1
30,20,0.25,3,6,5,2.37457815,0.317061365,0.00767982,2.620782,0.021262122,0.86814086,14.264,3.054,13.842,1,0.75,1.65,0.2,0.2,0.2,1.086874073,1.1
30,20,0.25,3,6,6,2.1416742,0.42498496,0.01368134,2.392488,0.023274848,1.052504,14.124,2.954,13.986,1,0.75,1.65,0.2,0.2,0.2,1.025685479,1.2
30,20,0.25,3,6,8,2.11395685,0.66806633,0.02915261,1.53122,0.027261962,1.390544,14.063,2.83,14.062,1,0.75,1.65,0.2,0.2,0.2,0.93312266,1.2
31,30,0.25,3,6,0,3.08501975,-0.004104945,-0.005372285,5.8982,0.008222171,0.026628554,14.645,11.557,12.342,0.8,0.8,2.9,0.2,0.2,0.1,0,0.1
31,30,0.25,3,6,1,2.8582635,0.03498808,-0.00423065,4.830638,0.009926237,0.14345976,14.651,3.732,13.216,0.9,0.8,2.8,0.2,0.2,0.1,2.754508263,1.2
31,30,0.25,3,6,2,2.8289176,0.107731075,-0.00312147,4.0122,0.012530225,0.27943014,14.664,3.234,13.447,0.92,0.79,2.8,0.2,0.2,0.1,2.369582459,1.6
31,30,0.25,3,6,3,2.5346037,0.232279165,-0.00016848,3.376152,0.015095178,0.46707366,14.496,2.92,13.582,0.95,0.8,2.7,0.2,0.2,0.1,1.902773312,1.8
31,30,0.25,3,6,4,2.4190838,0.382327305,0.00391591,2.853432,0.017253098,0.6740415,14.386,2.757,13.71,0.9,0.8,2.7,0.2,0.2,0.1,1.704021211,2
31,30,0.25,3,6,5,2.19758945,0.55279472,0.00919334,2.330982,0.0190382,0.8826135,14.082,2.712,13.716,0.9,0.8,2.7,0.2,0.2,0.1,1.57827522,2.1
31,30,0.25,3,6,7,2.003149845,0.898483905,-0.03209625,1.3204838,0.021533792,1.0424374,13.922,2.466,13.887,0.72,0.9,2.67,0.2,0.2,0.1,1.351342585,2
32,20,0.25,1,2,0,1.02372039,-0.005857075,-0.006195,2.08142,0.003961251,0.013573469,13.993,10.391,11.641,0.8,0.8,1.85,0.2,0.2,0.15,0,0.1
32,20,0.25,1,2,1,0.96832961,-0.00074453,-0.005446415,1.8635,0.005681678,0.052406618,13.985,4.519,12.899,0.85,0.8,1.8,0.2,0.2,0.15,3.739587226,0.3
32,20,0.25,1,2,3,0.89274406,0.037345035,-0.003832125,1.3999622,0.008964195,0.17390144,14.08,3.524,13.42,0.9,0.8,1.75,0.2,0.2,0.15,2.038554687,0.6
32,20,0.25,1,2,4,0.85532094,0.074910535,-0.002745735,1.142955,0.010621851,0.26197816,13.992,3.326,13.612,0.9,0.8,1.75,0.2,0.2,0.15,1.640197564,0.6
32,20,0.25,1,2,5,0.81537906,0.12038615,-0.00147913,0.9103878,0.012149218,0.35317414,13.882,3.182,13.639,0.9,0.8,1.75,0.2,0.2,0.15,1.451910487,0.7
32,20,0.25,1,2,6,0.773248595,0.18306043,0.00039443,0.701195,0.013669081,0.44557304,13.735,3.06,13.752,0.87,0.8,1.78,0.2,0.2,0.15,1.244456751,0.7
32,20,0.25,1,2,7,0.715058515,0.263886895,0.003504005,0.525995,0.015202922,0.53698744,13.557,2.937,13.802,0.82,0.8,1.79,0.2,0.2,0.15,1.063621429,0.7
