exp,Voltage [V],Temp_F [C],Temp_A [C],Temp_B [C],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
7,30,23.3,23.4,23.8,0.25,1.0,2.0,4,0.67462,0.33685705,0.00429807,0.6874863999999999,0.017685450000000002,1.34772108,13.04,2.45,13.85,0.73,0.83,1.82,0.18000000000000005,0.19999999999999996,-0.8,1.4737416209630483,2.0
7,30,21.9,21.2,21.2,0.25,1.0,2.0,6,-0.0059644799999999994,0.8274965000000001,0.020059005,0.0044127223682,0.020284938,1.619068,10.92,2.13,13.97,0.45,1.1,2.1,0.18000000000000005,0.19999999999999996,-0.8,0.7967273478804427,0.3
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
7,30,,,,0.25,1.0,2.0,,,,,,,,,,,,,,0.18000000000000005,0.19999999999999996,-0.8,,
8,30,21.9,21.4,22,0.25,1.0,2.0,0,0.965021,-0.006195,-0.006195,1.9981741000000002,0.003595459487202,0.01345151135,13.91,5.74,11.56,0.81,0.81,1.86,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.0,0.1
8,30,20.8,20.8,21.3,0.25,1.0,2.0,1,0.915156,0.012955675,-0.0030572449999999997,1.7124624000000002,0.00814214258,0.7106212011999999,13.85,3.63,13.13,0.85,0.78,1.8,0.18999999999999995,0.18999999999999995,-0.8600000000000001,2.8055848083236437,0.7
8,30,22.6,22.6,23,0.25,1.0,2.0,2,0.8565825000000001,0.09022505,-0.0010251549999999998,1.3357260999999998,0.012863100499999999,1.00843675,13.6,2.94,13.43,0.81,0.78,1.81,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.6821268479564482,1.2
8,30,23.9,24,24.5,0.25,1.0,2.0,3,0.754032,0.2444703,0.0019006200000000013,0.9437869,0.017469242,1.20616947,13.21,2.57,13.61,0.73,0.78,1.85,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.3028868448552575,1.7
8,30,24.2,24.2,24.8,0.25,1.0,2.0,3.5,0.6406685000000001,0.38285115000000003,0.004782185,0.65524,0.019905271999999998,1.33631507,12.77,2.39,13.73,0.68,0.8,1.89,0.18999999999999995,0.18999999999999995,-0.8600000000000001,1.0763563172643682,1.8
8,30,24.3,24.1,24.7,0.25,1.0,2.0,4,0.44065315000000005,0.5599660000000001,0.008459675,0.45088036899999995,0.01958,1.44887408,11.89,2.27,13.83,0.56,0.89,1.91,0.18999999999999995,0.18999999999999995,-0.8600000000000001,0.8518802493170097,2.0
