Reaction	Value
CH2 + CH2 => C2H2 + H2	3.32d-10 * exp(-45.98/(R*Tgas))
CH2 + C2H5 => C2H4 + CH3	3.01d-11
CH2 + C2H3 => C2H2 + CH3	3.01d-11
CH2 + C3H8 => C3H7 + CH3	1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
CH2 + C3H8(v1) => C3H7 + CH3	1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
CH2 + C3H8(v2) => C3H7 + CH3	1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas))
CH2 + C3H7 => C2H4 + C2H5	3.01d-11
CH2 + C3H7 => C3H6 + CH3	3.01d-11
CH2 + H2 => CH3 + H	8.30d-19 * Tgas**2.00 * exp(-3938.65/Tgas)
CH2 + H => CH + H2	1.00d-11 * exp(7.48/(R*Tgas))
CH2 => CH + H	6.64d-9 * exp(-348./(R*Tgas))
CH2 + H => CH3	9.96d-10
CH + C2H6 => C3H6 + H	3.00d-11
CH + C2H6(v24) => C3H6 + H	3.00d-11
CH + C2H6(v13) => C3H6 + H	3.00d-11
CH + C2H6 => C3H7	1.14d-29
CH + C2H6(v24) => C3H7	1.14d-29
CH + C2H6(v13) => C3H7	1.14d-29
CH + H2 => CH2 + H	1.79d-10 * exp(-1565.17/Tgas)
CH + CH3 => C2H3 + H	4.98d-11
CH + CH2 => C2H2 + H	6.64d-11
CH + H2 => CH3	3.29d-12 * Tgas**0.43 * exp(186.21/Tgas)
CH + C2H3 => CH2 + C2H2	8.30d-11
C2H6 + C2H3 => C2H5 + C2H4	1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
C2H6(v24) + C2H3 => C2H5 + C2H4	1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
C2H6(v13) + C2H3 => C2H5 + C2H4	1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas))
C2H6 + C3H7 => C3H8 + C2H5	1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
C2H6(v24) + C3H7 => C3H8 + C2H5	1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
C2H6(v13) + C3H7 => C3H8 + C2H5	1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas))
C2H6 + H => C2H5 + H2	1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
C2H6(v24) + H => C2H5 + H2	1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
C2H6(v13) + H => C2H5 + H2	1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas))
C2H6 + H => CH4 + CH3	8.97d-20 * exp(-48.64/(R*Tgas))
C2H6(v24) + H => CH4 + CH3	8.97d-20 * exp(-48.64/(R*Tgas))
C2H6(v13) + H => CH4 + CH3	8.97d-20 * exp(-48.64/(R*Tgas))
C2H6 => CH3 + CH3	1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
C2H6(v24) => CH3 + CH3	1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
C2H6(v13) => CH3 + CH3	1.80d21 * Tgas**-1.24 * exp(-45700./Tgas)
C2H6 + CH => C2H4 + CH3	1.79d-10 * exp(132.36/Tgas)
C2H6(v24) + CH => C2H4 + CH3	1.79d-10 * exp(132.36/Tgas)
C2H6(v13) + CH => C2H4 + CH3	1.79d-10 * exp(132.36/Tgas)
C2H6 + CH2 => C2H5 + CH3	9.00d-33 * Tgas**6.43
C2H6(v24) + CH2 => C2H5 + CH3	9.00d-33 * Tgas**6.43
C2H6(v13) + CH2 => C2H5 + CH3	9.00d-33 * Tgas**6.43
C2H5 + C2H5 => C2H6 + C2H4	2.41d-12
C2H5 + C2H4 => C2H6 + C2H3	5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
C2H5 + C2H4(v1) => C2H6 + C2H3	5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
C2H5 + C2H4(v2) => C2H6 + C2H3	5.83d-14 * (Tgas/298.)**3.13 * exp(-75.33/(R*Tgas))
C2H5 + C3H8 => C2H6 + C3H7	1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
C2H5 + C3H8(v1) => C2H6 + C3H7	1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
C2H5 + C3H8(v2) => C2H6 + C3H7	1.61d-15 * (Tgas/298.)**3.65 * exp(-38.25/(R*Tgas))
C2H5 + C3H7 => C3H8 + C2H4	1.91d-12
C2H5 + C3H7 => C3H6 + C2H6	2.41d-12
C2H5 + C3H6 => C3H5 + C2H6	1.69d-15 * (Tgas/298.)**3.50 * exp(-35.34/(R*Tgas))
C2H5 + C3H6(v) => C3H5 + C2H6	1.69d-15 * (Tgas/298.)**3.50 * exp(-35.34/(R*Tgas))
C2H5 + H2 => C2H6 + H	4.12d-15 * (Tgas/298.)**3.60 * exp(-27.77/(R*Tgas))
C2H5 + H => CH3 + CH3	5.99d-11
C2H5 + H => C2H4 + H2	3.32d-12
C2H5 + H => C2H6	8.65d-7 * Tgas**-0.99 * exp(-795.17/Tgas)
C2H5 => C2H4 + H	4.08d12 * (Tgas/298.)**1.04 * exp(-154./(R*Tgas))
C2H5 + C2H5 => C4H9H	9.55d-12
C2H5 + C2H3 => C2H4 + C2H4	4.42d-11
C2H4 + H => C2H3 + H2	9.00d-10 * exp(-62.36/(R*Tgas))
C2H4(v1) + H => C2H3 + H2	9.00d-10 * exp(-62.36/(R*Tgas))
C2H4(v2) + H => C2H3 + H2	9.00d-10 * exp(-62.36/(R*Tgas))
C2H4 + H => C2H5	9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
C2H4(v1) + H => C2H5	9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
C2H4(v2) + H => C2H5	9.68d-12 * (Tgas/298.)**1.28 * exp(-5.40/(R*Tgas))
C2H4 + H2 => C2H5 + H	9.55d-12
