exp,V,E,t,VF,VA,VB,CFLA,CALA,CFK,CBK,I
34,30,0.25,2.75,1.0,1.0,2.0,0.4164085027762386,0.09277065144462725,0.49521795051080997,0.2561801526172587,0.8803308823529412
34,30,0.25,3.0,1.0,1.0,2.0,0.3926861897018132,0.1164828818329572,0.4137794959334018,0.2960790887202987,0.9
34,30,0.25,3.25,0.9874999999999999,1.0054687500000001,2.0078125,0.3651121806953937,0.1463343710512487,0.3408353385139369,0.3316003676787668,0.8890625000000001
34,30,0.25,3.5,0.9583333333333333,1.0187499999999998,2.0249999999999995,0.33209414350196964,0.18368577559520996,0.2693658807529069,0.36632636701504556,0.8625
34,30,0.25,3.75,0.9249999999999999,1.0351562500000002,2.0421875,0.29537939421705817,0.22376076741860673,0.20578076999294784,0.3968531942881935,0.8296875
34,30,0.25,4.0,0.8999999999999999,1.05,2.05,0.2567152489361763,0.2617830184752048,0.1564896535766957,0.4197769570572697,0.8
34,30,0.25,4.25,0.8848921654929578,1.0638227103960396,2.05,0.21095927109052243,0.3000593378093447,0.11863072888748881,0.4370182586785271,0.7783482142857143
34,30,0.25,4.5,0.8722124413145541,1.0785272277227727,2.05,0.1584581334807114,0.33995879276104535,0.08586251050398883,0.4519935519419956,0.7589285714285714
34,30,0.25,4.75,0.8609264964788732,1.0914681311881191,2.05,0.10919281625638497,0.37529844272759016,0.05937512156181685,0.4635427185573988,0.7350446428571429
34,30,0.25,5.0,0.8500000000000001,1.1,2.05,0.073144299567185,0.3998953471062628,0.040358685196594,0.4705056402344602,0.7
34,30,0.25,5.25,0.8391625066856838,1.1052387517232736,2.052230023734177,0.047880402420140786,0.4166885916272717,0.0258244394661817,0.47452528397209526,0.621986607142857
34,30,0.25,5.5,0.8288687823141381,1.1096847975936834,2.0581091772151896,0.02580429439570027,0.4313198127745109,0.013149158203994128,0.4778004791504212,0.4848214285714285
34,30,0.25,5.75,0.8191723123551435,1.1127694573254792,2.0664210838607593,0.00914998150363304,0.44165989607579254,0.004071268208981516,0.4800049010509641,0.3052455357142857
34,30,0.25,6.0,0.8101265822784809,1.1139240506329111,2.075949367088607,0.00015146975370869398,0.4455797270589281,0.00032919628009409757,0.48081222495525033,0.09999999999999998
35,20,0.25,0.0,1.0,1.0,2.0,2.9877863500000004,0.0005188149999999,5.6196280000000005,0.017574781,0.0
35,20,0.25,0.25,1.0224716948792187,0.9976901120675673,1.9795139964546333,2.922540119387588,0.0008154457110093339,5.455138043895036,0.039832317620399335,0.1573516502808989
35,20,0.25,0.5,1.0445695814063118,0.9948433852665993,1.959722509064207,2.859040624614953,0.0016046627487706655,5.294548599585319,0.063107874255844,0.309187734082397
35,20,0.25,0.75,1.065987615501854,0.9914885460792452,1.9415512486231585,2.7991162202645867,0.0027354534703834393,5.141621600110106,0.08771204408056799,0.43142995084269664
35,20,0.25,1.0,1.08641975308642,0.9876543209876544,1.925925925925926,2.744595260918979,0.0040568052329472,5.00011897850865,0.1139554202688053,0.5
35,20,0.25,1.25,1.1065364474537132,0.9825144643350585,1.9123880745034683,2.6937970175566663,0.005908063793108756,4.867004695271727,0.14161475653834624,0.5306786954525234
35,20,0.25,1.5,1.127048755298789,0.9755164881140419,1.8997856864705547,2.6439528583600587,0.008685896472748023,4.736850787483253,0.17025935503253692,0.5558841677787822
35,20,0.25,1.75,1.1477115376442486,0.9670997552807832,1.888004160497338,2.5952592837174575,0.012325272976814202,4.609831303072191,0.1998886315639449,0.5764940914374274
35,20,0.25,2.0,1.1682796555126946,0.9577036287914606,1.876928895253972,2.547912794017167,0.016761163010256503,4.4861202899674995,0.2305020019451379,0.5933861408871095
35,20,0.25,2.25,1.1885079699267287,0.9477674716022527,1.8664452894106087,2.502109889647488,0.021928536278024123,4.365891796098141,0.2620988819886836,0.6074379905864795
35,20,0.25,2.5,1.2081513419089527,0.937730646669338,1.8564387416374013,2.458047070996724,0.027762362485066278,4.249319869393073,0.29467868750714954,0.6195273149941882
35,20,0.25,2.75,1.2269646324819692,0.928032516948895,1.8467946506045032,2.415920838453178,0.03419761133633216,4.1365785577812595,0.3282408343131035,0.6305317885688866
35,20,0.25,3.0,1.2447027026683792,0.9191124453971019,1.8373984149820668,2.37592769240515,0.04116925253677098,4.02784190919166,0.36278473821911306,0.6413290857692252
35,20,0.25,3.25,1.2611204134907854,0.9114097949701374,1.828135433440245,2.3382641332409455,0.04861225579133194,3.9232839715532366,0.3983098150377458,0.652796881053855
35,20,0.25,3.5,1.2759726259717898,0.90536392862418,1.8188911046491916,2.3031266613488643,0.05646159080496424,3.8230787927949477,0.4348154805815696,0.665812848881427
35,20,0.25,3.75,1.289014201133994,0.9014142093154079,1.8095508272790586,2.2707117771172105,0.0646522272826171,3.7274004208457554,0.47230115066315187,0.6812546637105916
