exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
12,26.0,30,0.25,1,2,0,,,0.982066015,-0.00580286,-0.005775015,1.9369701,0.003784137,0.014951507,1,1,2,,,,,
12,23.4,30,0.25,1,2,1,4.249573907,22.74737863,0.93744297,0.00825099,-0.00371678,1.5942662,0.006905518,0.0825735,1.07,0.98,1.98,,,,,
12,22.8,30,0.25,1,2,3,4.652035452,53.21192027,0.868453045,0.074556125,-0.002160395,1.1287928,0.010600438,0.23167544,1.04,0.98,1.98,,,,,
12,23.4,30,0.25,1,2,4,2.567727015,236.8523025,0.769744845,0.21767953,-0.000154385,0.5906862,0.014341418,0.45972454,0.939,1,1.99,,,,,
12,23.4,30,0.25,1,2,5,1.289617545,589.6274367,0.469078985,0.5204391,0.0035109,0.2028312,0.018550922,0.70909414,0.83,1.11,1.05,,,,,
12,23.2,30,0.25,1,2,6,0.7072098,794.2905135,0.0108308,0.8237644,0.00911553,0.014233802,0.02093625,0.86148854,0.67,1.29,2.15,,,,,
13,23.6,10,0.25,1,2,0,,,0.99474461,-0.006195,-0.006195,1.94402,0.003672271,0.013364868,1,1,2,,,,,
13,20.3,10,0.25,1,2,1,5.916283773,0.939027905,0.94515039,-0.005795525,-0.00552235,1.8053672,0.004057781,0.027443449,1.08,0.97,1.92,,,,,
13,19.2,10,0.25,1,2,2,3.501741902,2.421492972,0.90080844,-0.00440763,-0.004741635,1.6482312,0.006213522,0.047392598,1.14,0.94,1.88,,,,,
13,19.1,10,0.25,1,2,3,2.983329468,4.646938289,0.863724845,-0.001419455,-0.003906025,1.4849208,0.008878742,0.075578485,1.19,0.92,1.87,,,,,
13,19.3,10,0.25,1,2,4,2.686671631,5.395779471,0.870966405,0.002234375,-0.003034375,1.3181742,0.010450561,0.108846,1.15,0.89,1.92,,,,,
13,21.5,10,0.25,1,2,20,0.533761862,27.66685654,0.494920315,0.35359574,0.02239409,0.27542,0.037239768,0.55524416,1.33,0.77,1.81,,,,,
13,20.8,10,0.25,1,2,21,0.514161753,40.96043984,0.468704765,0.386075155,0.025330555,0.2565038,0.038906208,0.56880736,1.33,0.77,1.81,,,,,
14,26.4,30,0.25,3,6,0,,,2.8289365,0.00270957,-0.004663895,5.05879,0.006969428,0.056369954,1,1,2,,,,,
14,24.6,30,0.25,3,6,1,2.255018596,107.8402717,2.6866297,0.06995248,-0.00241775,4.1513776,0.013470188,0.29793144,1.06,0.98,1.95,,,,,
14,25.0,30,0.25,3,6,2,1.776687008,237.5420948,2.53602735,0.217948085,0.000418485,3.5221264,0.017847648,0.61951014,1.09,0.98,1.92,,,,,
14,25.6,30,0.25,3,6,3,1.571598935,333.9103802,2.4083578,0.421681055,0.00606283,2.7969525,0.021370778,1.41132267,1.05,0.99,1.92,,,,,
14,26.3,30,0.25,3,6,4,1.415505539,434.668406,2.1634496,0.67609805,0.01465566,2.1655861,0.024146912,1.74385088,0.96,1.01,1.97,,,,,
