exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
15,20,0.25,0.5,1.0330383201566424,0.979011333835993,1.9884042042263927,0.9713123572382855,0.0025942141828386887,1.8861571440706384,0.032507282296119704,0.24492187499999998
15,20,0.25,0.75,1.048106129701123,0.9693875460141582,1.9833573084453968,0.957319685583504,0.005597923504829119,1.8280597584136973,0.051783971025544814,0.3131347656249999
15,20,0.25,1.0,1.0615456135165755,0.9606981216957449,1.978966553371755,0.9435703007604279,0.009526871285815443,1.769197425855036,0.07284094604760905,0.37812500000000004
15,20,0.25,1.25,1.0728612025731492,0.9532085608782348,1.9753485434830795,0.9300710930297984,0.014221685254759043,1.7095844150644957,0.09550189829110906,0.439599609375
15,20,0.25,1.5,1.0815573278409933,0.9471843635591095,1.9726198832569823,0.9168289526523564,0.0195229931406213,1.6492349947119156,0.11959051868484157,0.497265625
15,20,0.25,1.75,1.0871384202902568,0.9428910297358508,1.9708971771710753,0.9038507698888433,0.025271422672363583,1.588163433467137,0.14493049815760328,0.5508300781250001
15,20,0.25,2.0,1.0891089108910892,0.9405940594059407,1.9702970297029703,0.891143435,0.03130760157894729,1.526384,0.1713455276381909,0.6
15,20,0.25,2.25,1.0890192193358814,0.9394409578355744,1.9705064009129518,0.8793035684816639,0.038730213980412334,1.4616617801830487,0.20158530223637872,0.6487792968749999
15,20,0.25,2.5,1.0887609345190978,0.9384089415736426,1.9711023959299123,0.8685698032340253,0.04857363656736778,1.3930036217315784,0.23726483755647837,0.699609375
15,20,0.25,2.75,1.0883502412139983,0.9375080775416708,1.9720368368343757,0.858412048124355,0.06058203592462868,1.322286436079556,0.2765058052690921,0.749853515625
15,20,0.25,3.0,1.087803324193843,0.9367484326611834,1.9732615457068654,0.8483002120199234,0.07449957863701011,1.2513871346609484,0.31742987704482223,0.796875
15,20,0.25,3.25,1.0871363682318915,0.9361400738537055,1.9747283446279051,0.8377042037880015,0.09007043128932715,1.1821826289097224,0.3581587245542712,0.8380371093750001
15,20,0.25,3.5,1.086365558101404,0.9356930680407618,1.9763890556780188,0.8260939322958599,0.10703876046639485,1.116549830259844,0.3968140194680415,0.870703125
15,20,0.25,3.75,1.0855070785756404,0.9354174821438773,1.9781955009377297,0.8129393064107692,0.12514873275302826,1.0563656501452812,0.4315174334567352,0.892236328125
15,20,0.25,4.0,1.0845771144278606,0.9353233830845771,1.980099502487562,0.797710235,0.14414451473404252,1.003507,0.4603906381909549,0.9
15,20,0.25,4.25,1.0828550547113556,0.9355920962675806,1.9824340580118283,0.7801825625435679,0.16453149491588925,0.9551548488722881,0.4856301305125179,0.89995
