,Reaction,Value,Number
130,CH3 => CH2 + H,1.69d-8 * exp(-379./(R*Tgas)),54
131,CH3 => CH + H2,6.97d-9 * exp(-345./(R*Tgas)),65
132,CH3 + C2H5 => C2H6 + CH2,3.00d-44 * Tgas**9.10,66
133,CH2 + CH2 => C2H2 + H + H,3.32d-10 * exp(-45.98/(R*Tgas)),67
134,CH2 + C2H5 => C2H4 + CH3,3.01d-11,55
135,CH2 + C2H3 => C2H2 + CH3,3.01d-11,55
136,CH2 + C2H => C2H2 + CH,3.01d-11,55
137,CH2 + C3H8 => C3H7 + CH3,1.61d-15 * (Tgas/298.)**3.65 * exp(-29.93/(R*Tgas)),56
138,CH2 + C3H7 => C2H4 + C2H5,3.01d-11,56
139,CH2 + C3H7 => C3H6 + CH3,3.01d-11,56
140,CH2 + C3H6 => C3H5 + CH3,1.20d-12 * exp(-25.94/(R*Tgas)),57
141,CH2 + H2 => CH3 + H,8.30d-19 * Tgas**2.00 * exp(-3938.65/Tgas),47
142,CH2 + H => CH + H2,1.00d-11 * exp(7.48/(R*Tgas)),54
143,CH2 => CH + H,6.64d-9 * exp(-348./(R*Tgas)),68
144,CH2 + CH2 => C2H2 + H2,2.66d-9 * exp(-6011.07/Tgas),47
145,CH2 + H => CH3,9.96d-10,47
146,CH + C2H6 => C3H6 + H,3.00d-11,70
147,CH + C2H6 => C3H7,1.14d-29,54
148,CH + H2 => CH2 + H,1.79d-10 * exp(-1565.17/Tgas),47
149,CH + CH3 => C2H3 + H,4.98d-11,47
150,CH + CH2 => C2H2 + H,6.64d-11,47
151,CH + H2 => CH3,3.29d-12 * Tgas**0.43 * exp(186.21/Tgas),47
152,CH + C2H3 => CH2 + C2H2,8.30d-11,73
153,C2H6 + C2H3 => C2H5 + C2H4,1.46d-13 * (Tgas/298.)**3.30 * exp(-43.90/(R*Tgas)),55
154,C2H6 + C3H7 => C3H8 + C2H5,1.19d-15 * (Tgas/298.)**3.82 * exp(-37.83/(R*Tgas)),56
155,C2H6 + C3H5 => C3H6 + C2H5,5.71d-14 * (Tgas/298.)**3.30 * exp(-83.06/(R*Tgas)),57
156,C2H6 + H => C2H5 + H2,1.23d-11 * (Tgas/298.)**1.50 * exp(-31.01/(R*Tgas)),54
