number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
53,0.01138197823893279,2025-08-15 06:19:31.186591,2025-08-15 06:24:31.850024,0 days 00:05:00.663433,8,0.1,96,2,0.1,48,4,0.1,64,2,1.2000000000000002,0.2,COMPLETE
54,0.015485675741607943,2025-08-15 06:24:31.862222,2025-08-15 06:29:32.075212,0 days 00:05:00.212990,8,0.2,32,2,0.1,48,4,0.1,64,2,1.5,0.2,COMPLETE
55,0.014774994210650524,2025-08-15 06:29:32.086701,2025-08-15 06:37:47.827373,0 days 00:08:15.740672,8,0.2,128,3,0.1,32,4,0.1,128,3,1.2000000000000002,0.2,COMPLETE
56,0.011935985771318276,2025-08-15 06:37:47.850527,2025-08-15 06:45:10.162343,0 days 00:07:22.311816,8,0.1,96,2,0.1,48,4,0.1,64,3,1.3,0.2,COMPLETE
57,0.012856064185810586,2025-08-15 06:45:10.173386,2025-08-15 06:52:33.813052,0 days 00:07:23.639666,8,0.1,96,2,0.1,48,4,0.1,64,3,1.3,0.15000000000000002,COMPLETE
58,0.014954145966718593,2025-08-15 06:52:33.836535,2025-08-15 06:58:06.497622,0 days 00:05:32.661087,8,0.1,96,2,0.1,48,4,0.1,64,3,1.3,0.15000000000000002,COMPLETE
59,0.06309383545691769,2025-08-15 06:58:06.520658,2025-08-15 07:03:32.350127,0 days 00:05:25.829469,8,0.1,96,2,0.1,48,4,0.1,64,3,1.4,0.15000000000000002,COMPLETE
60,0.012803436086202661,2025-08-15 07:03:32.361483,2025-08-15 07:09:52.540078,0 days 00:06:20.178595,8,0.1,96,2,0.1,128,4,0.1,64,3,1.6,0.15000000000000002,COMPLETE
61,0.01464905481940756,2025-08-15 07:09:52.563648,2025-08-15 07:15:46.564412,0 days 00:05:54.000764,8,0.1,96,2,0.1,128,4,0.1,64,3,1.2000000000000002,0.15000000000000002,COMPLETE
62,0.012233544886112214,2025-08-15 07:15:46.585063,2025-08-15 07:24:33.084797,0 days 00:08:46.499734,8,0.1,96,2,0.1,128,4,0.1,64,4,1.6,0.15000000000000002,COMPLETE
63,0.059163835000557184,2025-08-15 07:24:33.108437,2025-08-15 07:32:52.108367,0 days 00:08:18.999930,8,0.1,96,2,0.1,128,4,0.1,64,4,1.6,0.15000000000000002,COMPLETE
64,0.011601931547435622,2025-08-15 07:32:52.128359,2025-08-15 07:42:49.273887,0 days 00:09:57.145528,8,0.1,96,2,0.1,128,4,0.1,64,4,1.7000000000000002,0.15000000000000002,COMPLETE
65,0.013730458728969098,2025-08-15 07:42:49.296956,2025-08-15 07:51:04.340243,0 days 00:08:15.043287,8,0.1,32,2,0.1,128,3,0.1,48,4,1.8,0.15000000000000002,COMPLETE
66,0.010621962688552837,2025-08-15 07:51:04.351765,2025-08-15 08:00:44.886002,0 days 00:09:40.534237,8,0.1,96,2,0.1,128,4,0.1,64,4,1.7000000000000002,0.2,COMPLETE
67,0.01288709850050509,2025-08-15 08:00:44.906607,2025-08-15 08:07:59.546932,0 days 00:07:14.640325,8,0.1,128,2,0.1,128,3,0.1,64,4,1.7000000000000002,0.15000000000000002,COMPLETE
68,0.013642222061753273,2025-08-15 08:07:59.567723,2025-08-15 08:13:58.735993,0 days 00:05:59.168270,8,0.1,96,2,0.1,128,4,0.1,64,4,1.7000000000000002,0.2,COMPLETE
69,0.10975708654150369,2025-08-15 08:13:58.758304,2025-08-15 08:19:50.163136,0 days 00:05:51.404832,8,0.1,96,2,0.1,128,4,0.1,64,4,1.7000000000000002,0.1,COMPLETE
70,0.013307393140469989,2025-08-15 08:19:50.184234,2025-08-15 08:27:57.935515,0 days 00:08:07.751281,8,0.1,48,2,0.1,128,4,0.1,64,4,1.8,0.15000000000000002,COMPLETE
71,0.013498663809150458,2025-08-15 08:27:57.958411,2025-08-15 08:35:31.203729,0 days 00:07:33.245318,8,0.2,96,2,0.2,128,4,0.1,64,4,1.5,0.2,COMPLETE
72,0.010547189003167054,2025-08-15 08:35:31.228268,2025-08-15 08:44:25.537823,0 days 00:08:54.309555,8,0.1,96,2,0.1,128,4,0.1,64,4,1.6,0.2,COMPLETE
73,0.014514857965211075,2025-08-15 08:44:25.561262,2025-08-15 08:49:50.208478,0 days 00:05:24.647216,8,0.1,96,2,0.1,128,4,0.1,64,4,1.6,0.2,COMPLETE
74,0.012575166369788348,2025-08-15 08:49:50.228205,2025-08-15 08:58:31.260326,0 days 00:08:41.032121,8,0.1,96,2,0.1,128,4,0.1,64,4,1.9000000000000001,0.2,COMPLETE
75,0.02037887931801379,2025-08-15 08:58:31.282863,2025-08-15 09:05:11.325601,0 days 00:06:40.042738,8,0.6,96,2,0.1,128,3,0.1,48,4,1.9000000000000001,0.2,COMPLETE
76,0.012373665301129221,2025-08-15 09:05:11.347714,2025-08-15 09:12:41.566080,0 days 00:07:30.218366,16,0.1,96,2,0.1,128,4,0.1,64,5,2.0,0.2,COMPLETE
77,0.015298084658570587,2025-08-15 09:12:41.586238,2025-08-15 09:18:52.426305,0 days 00:06:10.840067,16,0.1,64,2,0.1,128,4,0.1,64,5,2.0,0.2,COMPLETE
78,0.014772387128323317,2025-08-15 09:18:52.448628,2025-08-15 09:23:56.962222,0 days 00:05:04.513594,16,0.1,96,2,0.1,128,4,0.1,64,4,1.8,0.2,COMPLETE
79,0.01905169837991707,2025-08-15 09:23:56.977011,2025-08-15 09:29:16.743521,0 days 00:05:19.766510,16,0.1,96,2,0.1,128,3,0.1,64,5,1.5,0.2,COMPLETE
