V,E,time,CFLA,CALA,CBLA,CFK,CAK,CBK,VF,VA,VB,I,exp
30,0.25,5.0,4.913914965160488e-06,0.4415649392999856,0.020899872957651368,0.00026580192174138805,0.011188616154722634,0.8494840442977415,0.7203947368421054,1.0855263157894737,1.194078947368421,0.2,5
30,0.25,0.0,0.9927815,0.0012092600000000002,4.999999999999796e-06,1.93625,0.0024954179999999997,0.015020854,1.0,1.0,1.0,0.0,6
30,0.25,1.0,0.9466019482898017,0.032119639930194,0.0024145271951610584,1.312430293737408,0.004676812617591364,0.6295419760939965,1.0135135135135136,1.0033783783783783,0.9831081081081081,1.1,6
30,0.25,1.666666667,0.8963809030082946,0.08130324275600023,0.003991102951819616,1.1185326509914415,0.00696514014963776,0.8271009436086773,1.0135135135135136,1.0033783783783783,0.9831081081081081,1.4,6
30,0.25,4.0,0.46343308316238285,0.5643582985832871,0.01664384565487286,0.0057118180572433355,0.018310929600700892,1.6921327065656624,0.7399999999999999,1.12,1.14,1.9,6
30,0.25,5.0,0.0018103269375324745,0.7949200963879458,0.025783270910657335,0.0013547138858865046,0.015334574367704502,1.6120081552954386,0.5898305084745763,1.2101694915254235,1.2,1.0,6
30,0.25,0.0,0.920709,4.999999999999796e-06,4.999999999999796e-06,1.8862424,0.00010510700000000012,0.009534419,1.0,1.0,1.0,0.0,7
30,0.25,1.0,0.8777719710110198,0.009011499866359162,0.002024314912425782,1.316389124149997,0.0022774193336247577,0.5417369369017496,1.0365448504983388,0.9867109634551493,0.9767441860465116,0.7,7
30,0.25,2.0,0.8280480000098747,0.04362649112478179,0.0034053835263712557,1.1549984783943075,0.004911067218093161,0.6939075252044359,1.0564784053156147,0.9767441860465117,0.9667774086378739,1.2,7
30,0.25,3.0,0.7713671986985627,0.131350725146575,0.0055742701557915525,0.9498874107461298,0.00882031627245486,0.9338003216292639,1.016778523489933,0.9966442953020134,0.9865771812080537,1.7,7
30,0.25,4.0,0.6287963693177576,0.31684296511392207,0.009695878941340842,0.637139201862622,0.013213868420574046,1.2521534726978656,0.9222972972972971,1.0439189189189189,1.0337837837837838,2.0,7
30,0.25,6.0,0.00020881379912769337,0.7391615721996495,0.02328143085667081,0.0008777199914756918,0.016141251814112096,1.5536125251592496,0.5851393188854489,1.2074303405572755,1.2074303405572755,0.3,7
30,0.25,0.0,0.971221,4.999999999999796e-06,4.999999999999796e-06,1.9946741,9.5459e-05,0.009951511,1.0,1.0,1.0,0.0,8
30,0.25,1.0,0.8981265130801072,0.01867271672778576,0.00306351897596051,1.3770156021787066,0.003740458735981943,0.5697708307733075,1.057627118644068,0.9864406779661018,0.9559322033898306,0.7,8
30,0.25,2.0,0.8485115070582874,0.09483011592570631,0.005089249642572773,1.1321968506151776,0.007957262158424136,0.8540488911134919,1.0273972602739727,0.9965753424657535,0.976027397260274,1.2,8
30,0.25,3.0,0.74567530413126,0.24587053976835258,0.007945511741352334,0.8745228551966056,0.012992227583700614,1.1185542824878112,0.9583333333333333,1.0104166666666667,1.03125,1.7,8
30,0.25,3.5,0.6309345023141328,0.3794678419183976,0.01071166616908496,0.6434635624055184,0.016196941668996077,1.315889669147145,0.9031141868512113,1.027681660899654,1.069204152249135,1.8,8
30,0.25,4.0,0.4330990408828538,0.5487394495943059,0.014208451215246781,0.4602926880507874,0.016544101924724067,1.4870905534125787,0.78125,1.1250000000000002,1.0937499999999998,2.0,8
30,0.25,4.5,0.17526107448637002,0.7166978761694383,0.019006384970780665,0.2900139332545521,0.017791817366421527,1.5584147626153124,0.7058823529411764,1.1522491349480968,1.1418685121107266,1.9,8
30,0.25,5.0,0.0013321282446078844,0.8005214064079561,0.02502073205525543,0.0010419366803602517,0.018054683384762335,1.6581763269013305,0.6293706293706293,1.1748251748251748,1.1958041958041958,1.9,8
30,0.25,0.0,0.48947375,0.0004331349999999994,0.00023170999999999956,1.0867780999999999,0.00026504999999999975,0.010465134000000001,1.0,1.0,2.0,0.0,9
30,0.25,1.0,0.47997638236287016,0.008716625760880494,0.002685874976532508,0.5073487508791904,0.0012514235955920453,0.29787219106976304,0.9924812030075187,0.9824561403508771,2.025062656641604,0.6,9
