number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
17,0.1275684442260258,2025-09-01 13:57:00.290045,2025-09-01 14:05:51.850237,0 days 00:08:51.560192,2,0.1,32,4,0.30000000000000004,48,5,0.30000000000000004,16,5,1.7000000000000002,0.05,COMPLETE
18,0.04735243033529038,2025-09-01 14:05:51.878506,2025-09-01 14:25:35.333185,0 days 00:19:43.454679,2,0.2,48,2,0.6,64,6,0.4,64,4,1.0,0.2,COMPLETE
19,0.09637485593557357,2025-09-01 14:25:35.365385,2025-09-01 14:29:59.768630,0 days 00:04:24.403245,8,0.6,16,5,0.2,32,3,0.2,48,3,1.2000000000000002,0.15000000000000002,COMPLETE
20,0.03076209986826316,2025-09-01 14:29:59.796324,2025-09-01 14:52:17.338444,0 days 00:22:17.542120,2,0.5,16,3,0.1,32,5,0.30000000000000004,48,4,0.8,0.05,COMPLETE
21,0.0681196041660206,2025-09-01 14:52:17.367093,2025-09-01 15:16:22.948566,0 days 00:24:05.581473,2,0.1,16,5,0.30000000000000004,64,5,0.1,48,5,0.5,0.1,COMPLETE
22,0.015615587059541474,2025-09-01 15:16:22.976153,2025-09-01 15:43:19.568981,0 days 00:26:56.592828,2,0.1,16,4,0.4,64,6,0.1,48,5,0.6,0.1,COMPLETE
23,1.1135609101858877,2025-09-01 15:43:19.596808,2025-09-01 16:02:36.657812,0 days 00:19:17.061004,2,0.2,16,4,0.4,64,6,0.2,48,5,0.7,0.05,COMPLETE
24,0.9844347661122725,2025-09-01 16:02:36.685677,2025-09-01 16:19:52.676290,0 days 00:17:15.990613,2,0.1,16,4,0.5,64,6,0.30000000000000004,48,4,1.0,0.1,COMPLETE
25,0.08009032544657765,2025-09-01 16:19:52.703018,2025-09-01 16:38:44.744535,0 days 00:18:52.041517,2,0.1,16,4,0.4,64,6,0.1,48,4,0.6,0.05,COMPLETE
26,0.062474459146393366,2025-09-01 16:38:44.771934,2025-09-01 17:00:29.046517,0 days 00:21:44.274583,2,0.2,48,3,0.5,16,4,0.30000000000000004,64,5,0.9,0.15000000000000002,COMPLETE
27,0.019973090374177056,2025-09-01 17:00:29.074131,2025-09-01 17:25:19.714360,0 days 00:24:50.640229,2,0.30000000000000004,32,4,0.4,48,3,0.2,16,4,1.1,0.1,COMPLETE
28,1.042368327108367,2025-09-01 17:25:19.742500,2025-09-01 17:38:04.988207,0 days 00:12:45.245707,4,0.1,64,2,0.6,64,5,0.4,32,6,0.8,0.05,COMPLETE
29,0.01814065589569509,2025-09-01 17:38:05.016900,2025-09-01 17:41:46.993507,0 days 00:03:41.976607,8,0.2,16,3,0.6,32,4,0.1,32,2,1.1,0.1,COMPLETE
30,0.028930918264779303,2025-09-01 17:41:47.021581,2025-09-01 18:04:56.361050,0 days 00:23:09.339469,2,0.4,16,3,0.30000000000000004,32,6,0.5,48,5,1.3,0.1,COMPLETE
31,0.01486066305522053,2025-09-01 18:04:56.390000,2025-09-01 18:39:56.577085,0 days 00:35:00.187085,2,0.1,16,5,0.30000000000000004,64,5,0.1,48,5,0.6,0.1,COMPLETE
32,0.01751857761825834,2025-09-01 18:39:56.606447,2025-09-01 18:58:57.215319,0 days 00:19:00.608872,2,0.1,16,6,0.2,64,5,0.1,48,4,0.6,0.05,COMPLETE
33,0.01545809999585063,2025-09-01 18:58:57.246247,2025-09-01 19:41:11.824349,0 days 00:42:14.578102,2,0.1,16,5,0.2,64,6,0.1,48,6,0.9,0.2,COMPLETE
34,,2025-09-01 19:41:11.854788,2025-09-01 19:44:37.263161,0 days 00:03:25.408373,2,0.1,16,5,0.2,64,5,0.2,48,6,0.9,0.2,FAIL
35,,2025-09-03 07:49:27.673691,2025-09-03 07:53:06.601715,0 days 00:03:38.928024,2,0.1,16,5,0.2,64,5,0.2,48,6,0.9,0.2,FAIL
