V,E,t,CFLA,CALA,CFK,CBK,SEC,I,exp,time,VF,VA,VB
30,0.25,,0.9927815,0.0012092600000000002,1.9359526070000002,0.014723461,,0.1,6,0.0,1.0,1.0,1.0
30,0.25,,0.9488631476702127,0.032196365855003684,1.3135930501835433,0.6299731995633575,,1.1,6,1.0,1.0135135135135136,1.0033783783783783,0.9831081081081081
30,0.25,,0.8999287608790082,0.08162503938147311,1.120808994005756,0.828719649231179,,1.4,6,1.666666667,1.0135135135135136,1.0033783783783783,0.9831081081081081
30,0.25,,0.47244914308838476,0.5753378518880314,0.005459282921901846,1.7075756128401691,,1.9,6,4.0,0.7399999999999999,1.12,1.14
30,0.25,,0.0018684775931602658,0.8204542271674794,0.0010963017221416317,1.62502452983149,,1.0,6,5.0,0.5898305084745763,1.2101694915254235,1.2
30,0.25,,0.932604,0.0062,1.859702607,0.008278484000000001,,0.0,44,0.0,1.0,1.0,2.0
30,0.25,,0.8834797734507901,0.02940799320988376,1.6684470016865631,0.07927596143861303,,0.9,44,1.0,1.03,0.98,1.99
30,0.25,,0.6455942777398792,0.34039728300140887,0.6703167904667188,0.627292956610108,,2.1,44,3.0,0.8899999999999999,1.07,2.04
30,0.25,,0.1170878329881551,0.7231609168802091,0.08771245048301117,0.8670954479174172,,2.0,44,4.0,0.73,1.18,2.09
30,0.25,,0.0062119421233230495,0.7787130337613949,7.73085246521227e-05,0.8934311709679731,,0.3,44,4.5,0.7,1.2,2.1
30,0.25,,2.8351365000000004,0.00890957,5.054992607,0.052572561,,1.0,17,0.0,1.0,1.0,2.0
30,0.25,,2.608163191496471,0.07375813452932843,4.2954920148167,0.30462351229322954,,1.7,17,1.0,1.06265664160401,0.9824561403508771,1.9548872180451127
30,0.25,,2.411526803916694,0.212624223016127,3.6095562407909787,0.631677646987153,,2.3,17,2.0,1.0927318295739348,0.9824561403508771,1.9248120300751879
30,0.25,,2.297634326229651,0.4071611785443103,2.5320803068310758,1.2759645987173802,,2.7,17,3.0,1.0606060606060606,1.0,1.9393939393939394
30,0.25,,2.1926617359006775,0.6895347648369798,1.9966120760981967,1.6071005431526555,,2.9,17,4.0,0.9746192893401016,1.0253807106598984,1.9999999999999998
30,0.25,,2.197869732544336,0.9511905429880647,1.5322073824535143,1.8479925604988374,,2.9,17,5.0,0.8329297820823245,1.0653753026634383,2.1016949152542375
30,0.25,,3.09121975,0.002095055,5.894402607,0.022831161,,0.1,31,0.0,1.0,1.0,3.0
30,0.25,,2.775819397537129,0.039913467709157775,5.036612066762254,0.145732005710869,,1.2,31,1.0,1.1,1.0,2.9
30,0.25,,2.6724820804204916,0.10739545913035246,4.528387660230455,0.3113888630075484,,1.6,31,2.0,1.1177644710578845,0.9880239520958085,2.8942115768463075
