변수명,x좌표,성분명,값
C,27.5,H2O,-3.5610497224654414e-43
C,30.0,H2O,-3.452449091480268e-43
C,32.5,H2O,-3.3491033297363128e-43
C,35.0,H2O,-3.2510124372335756e-43
C,37.5,H2O,-3.1616796601328685e-43
C,40.0,H2O,-3.0723468830321614e-43
C,42.5,H2O,-5.027158240765281e-44
C,45.0,H2O,-4.93957708674498e-44
C,47.5,H2O,-4.974609548353101e-44
C,50.0,H2O,2.929729731825503e-41
T,0.0,,473.15
T,2.5,,496.5336726958359
T,5.0,,519.8657131769028
T,7.5,,543.1509444296507
T,10.0,,566.3935365265302
T,12.5,,589.5971202255693
T,15.0,,612.7648767698709
T,17.5,,635.8996096520765
T,20.0,,659.0038025382781
T,22.5,,682.0796664470375
T,25.0,,705.129178498188
T,27.5,,728.1541139829399
T,30.0,,751.1560730953204
T,32.5,,774.1365033606218
T,35.0,,797.0967185688594
T,37.5,,820.0379148491451
T,40.0,,842.9611843895282
T,42.5,,865.8675272056826
T,45.0,,888.7578612832365
T,47.5,,911.6330313570087
T,50.0,,934.4938165418862
V,0.0,,1359.4079974252156
V,2.5,,1430.0845904517
V,5.0,,1500.5974316682432
V,7.5,,1570.9621751198626
V,10.0,,1641.1923087041882
V,12.5,,1711.2995389705245
V,15.0,,1781.2940936941286
V,17.5,,1851.184962520054
V,20.0,,1920.9800903423625
V,22.5,,1990.6865341757755
V,25.0,,2060.3105915174438
V,27.5,,2129.8579062191725
V,30.0,,2199.3335564538747
V,32.5,,2268.742128303104
V,35.0,,2338.0877777058004
V,37.5,,2407.374282916431
V,40.0,,2476.6050891707855
V,42.5,,2545.783346912592
V,45.0,,2614.9119446670093
V,47.5,,2683.99353743871
V,50.0,,2753.03057134841
cpx,0.0,,30.459999999999997
cpx,2.5,,30.459999999999994
cpx,5.0,,30.459999999999997
cpx,7.5,,30.459999999999997
cpx,10.0,,30.46
cpx,12.5,,30.459999999999994
cpx,15.0,,30.46
cpx,17.5,,30.459999999999994
cpx,20.0,,30.459999999999997
cpx,22.5,,30.459999999999997
cpx,25.0,,30.459999999999994
cpx,27.5,,30.46
cpx,30.0,,30.459999999999997
cpx,32.5,,30.459999999999997
cpx,35.0,,30.46
cpx,37.5,,30.459999999999997
cpx,40.0,,30.46
cpx,42.5,,30.459999999999997
cpx,45.0,,30.459999999999997
cpx,47.5,,30.46
cpx,50.0,,30.46
rho,0.0,,0.025756421309894036
rho,2.5,,0.02454345276647854
rho,5.0,,0.023441920545795684
rho,7.5,,0.022436950294863724
rho,10.0,,0.021516224951139664
rho,12.5,,0.020669454318423347
rho,15.0,,0.019887972050580117
rho,17.5,,0.01916442557567242
rho,20.0,,0.018492534786350497
rho,22.5,,0.017866902272951186
rho,25.0,,0.01728286265040396
rho,27.5,,0.01673636186179934
rho,30.0,,0.016223859700099767
rho,32.5,,0.015742250481501144
rho,35.0,,0.015288798032761673
rho,37.5,,0.014861082057429293
rho,40.0,,0.014456953615962668
rho,42.5,,0.014074497957100869
rho,45.0,,0.01371200331795729
rho,47.5,,0.013367934600434518
rho,50.0,,0.013040911054792548
z,0.0,CH4,5.976301891766149e-47
z,2.5,CH4,3.8163428309161456e-39
z,5.0,CH4,3.816361398120798e-39
z,7.5,CH4,3.81636209877003e-39
z,10.0,CH4,3.816382724131802e-39
z,12.5,CH4,3.81638758488585e-39
z,15.0,CH4,3.8163810162992985e-39
z,17.5,CH4,3.81637821370237e-39
z,20.0,CH4,3.816375411105441e-39
z,22.5,CH4,3.8163859208439236e-39
z,25.0,CH4,3.816380315650066e-39
z,27.5,CH4,3.8163859208439236e-39
z,30.0,CH4,3.816383118246995e-39
z,32.5,CH4,3.816388723440852e-39
z,35.0,CH4,3.816391526037781e-39
z,37.5,CH4,3.816391526037781e-39
z,40.0,CH4,3.8163859208439236e-39
z,42.5,CH4,3.8163859208439236e-39
z,45.0,CH4,3.8252645479138856e-39
z,47.5,CH4,3.825875514044331e-39
z,50.0,CH4,3.825892329625903e-39
z,0.0,CO,0.0
z,2.5,CO,2.933968659680086e-45
z,5.0,CO,3.2405026987511395e-45
z,7.5,CO,4.3790577010150533e-45
z,10.0,CO,3.3280838527714405e-45
z,12.5,CO,4.379057701015053e-46
z,15.0,CO,-2.802596928649634e-45
z,17.5,CO,-2.45227231256843e-45
z,20.0,CO,-4.90454462513686e-45
z,22.5,CO,-5.605193857299268e-45
z,25.0,CO,-4.5542200090556555e-45
z,27.5,CO,-3.5032461608120427e-45
z,30.0,CO,-7.006492321624085e-45
z,32.5,CO,-9.458764634192515e-45
z,35.0,CO,-5.605193857299268e-45
z,37.5,CO,-7.006492321624085e-45
z,40.0,CO,-7.35681693770529e-45
z,42.5,CO,4.666323886201641e-43
z,45.0,CO,4.680336870844889e-43
z,47.5,CO,4.2389278545825716e-42
z,50.0,CO,1.961817850054744e-42
z,0.0,CO2,0.19999999999999998
z,2.5,CO2,0.2
z,5.0,CO2,0.19999999999999998
z,7.5,CO2,0.19999999999999998
z,10.0,CO2,0.19999999999999998
z,12.5,CO2,0.19999999999999996
z,15.0,CO2,0.19999999999999998
z,17.5,CO2,0.19999999999999998
z,20.0,CO2,0.19999999999999998
z,22.5,CO2,0.19999999999999996
z,25.0,CO2,0.19999999999999996
z,27.5,CO2,0.19999999999999998
z,30.0,CO2,0.19999999999999998
z,32.5,CO2,0.19999999999999998
z,35.0,CO2,0.19999999999999998
z,37.5,CO2,0.19999999999999998
z,40.0,CO2,0.19999999999999998
z,42.5,CO2,0.19999999999999996
z,45.0,CO2,0.19999999999999998
z,47.5,CO2,0.19999999999999998
z,50.0,CO2,0.2
z,0.0,H2,0.7999999999999999
z,2.5,H2,0.7999999999999998
z,5.0,H2,0.7999999999999999
z,7.5,H2,0.7999999999999999
z,10.0,H2,0.7999999999999999
z,12.5,H2,0.7999999999999998
z,15.0,H2,0.7999999999999999
z,17.5,H2,0.7999999999999998
z,20.0,H2,0.7999999999999999
z,22.5,H2,0.7999999999999999
z,25.0,H2,0.7999999999999998
z,27.5,H2,0.7999999999999999
z,30.0,H2,0.7999999999999999
z,32.5,H2,0.7999999999999999
z,35.0,H2,0.7999999999999998
z,37.5,H2,0.7999999999999999
z,40.0,H2,0.7999999999999999
z,42.5,H2,0.7999999999999999
z,45.0,H2,0.7999999999999999
z,47.5,H2,0.7999999999999999
z,50.0,H2,0.8
z,0.0,H2O,-1.972723799177804e-44
z,2.5,H2O,-2.130551701390256e-41
z,5.0,H2O,-2.124473569301247e-41
z,7.5,H2O,-2.1249990562253688e-41
z,10.0,H2O,-2.12534938084145e-41
z,12.5,H2O,-2.1260500300736125e-41
z,15.0,H2O,-2.1260500300736125e-41
z,17.5,H2O,-2.1260500300736125e-41
z,20.0,H2O,-2.1266105494593424e-41
z,22.5,H2O,-2.1277315882308022e-41
z,25.0,H2O,-2.1266105494593424e-41
z,27.5,H2O,-2.1266105494593424e-41
z,30.0,H2O,-2.1271710688450723e-41
z,32.5,H2O,-2.1254895106878825e-41
z,35.0,H2O,-2.1266105494593424e-41
z,37.5,H2O,-2.1266105494593424e-41
z,40.0,H2O,-2.1243684719164227e-41
z,42.5,H2O,-3.576113680956933e-42
z,45.0,H2O,-3.59853445638613e-42
z,47.5,H2O,-3.721848721246714e-42
z,50.0,H2O,-8.674598013556348e-40
