exp,T,V,E,CF_LA,CF_K,CA_LA,CB_K,dNLA,dNK,dVF,dVA,dVB
2,23.2875,10,0.25,0.442798133,0.817353942,-0.004938011,0.074148377,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.441428782,0.814466822,-0.002961589,0.078354702,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.440057476,0.81157558,-0.000981595,0.082551334,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.438684212,0.808680209,0.001001981,0.086738306,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.437308984,0.805780698,0.002989149,0.090915652,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.43593179,0.80287704,0.004979917,0.095083404,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.434552623,0.799969225,0.006974298,0.099241596,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.433171481,0.797057244,0.008972299,0.10339026,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.431788359,0.794141089,0.010973931,0.10752943,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.430403252,0.79122075,0.012979203,0.111659137,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.429016158,0.788296218,0.014988127,0.115779415,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.42762707,0.785367485,0.017000711,0.119890295,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.426235985,0.782434541,0.019016965,0.123991809,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.424842898,0.779497377,0.021036901,0.12808399,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
2,23.2875,10,0.25,0.423447806,0.776555984,0.023060527,0.13216687,-0.019197208,-0.039530711,-0.008125,-0.00875,0.010625
